Japan Style Architecture, Interiors & Design;http://www.pdfdrive.com/japan-style-architecture-interiors-design-e31779379.html;228 Pages;https://cdn.pdfdrive.com/assets/thumbs/436/4364f1e62e9181c3add824e1bc7af847-s.jpg;English;['Architecture']
Successful Drawing by Andrew Loomis;http://www.pdfdrive.com/successful-drawing-by-andrew-loomis-e10159046.html;151 Pages;https://cdn.pdfdrive.com/assets/thumbs/32a/32a738699b1b0616d79a35f81a22584a-s.jpg;English;['Art']
Guitar Scales Easy Music Lessons;http://www.pdfdrive.com/guitar-scales-easy-music-lessons-e14525.html;19 Pages;https://cdn.pdfdrive.com/assets/thumbs/bfa/bfae931fe604991cd67c88de7cee9151-s.jpg;English;"[""Editor's Picks"", 'Music']"
Drawing Portraits;http://www.pdfdrive.com/drawing-portraits-e18016565.html;66 Pages;https://cdn.pdfdrive.com/assets/thumbs/72c/72c684e5349559fb1ac37507a1d3e801-s.jpg;English;['Painting & Drawing']
The Complete Idiot''s Guide to Music Theory;http://www.pdfdrive.com/the-complete-idiots-guide-to-music-theory-e21646643.html;338 Pages;https://cdn.pdfdrive.com/assets/thumbs/fab/fab321c5df66e388ffac0c2e7f843573-s.jpg;English;['Art']
Sketch Book for the Artist;http://www.pdfdrive.com/sketch-book-for-the-artist-e34354508.html;265 Pages;https://cdn.pdfdrive.com/assets/thumbs/708/7081ab2dd8c94d79f35024e54811b386-s.jpg;English;['Painting & Drawing']
1000 Poses in Fashion;http://www.pdfdrive.com/1000-poses-in-fashion-e13354820.html;321 Pages;https://cdn.pdfdrive.com/assets/thumbs/0d4/0d4d2e1437aae8bcb3bec9f725392af5-s.jpg;English;['Fashion & Beauty']
How to Draw Anime For Beginners;http://www.pdfdrive.com/how-to-draw-anime-for-beginners-e18775390.html;153 Pages;https://cdn.pdfdrive.com/assets/thumbs/c48/c48654c8927f7a1d4dfce61ab87492f0-s.jpg;English;['Painting & Drawing']
Graphic Design Theory;http://www.pdfdrive.com/graphic-design-theory-e19488823.html;152 Pages;https://cdn.pdfdrive.com/assets/thumbs/74d/74dbd5f33b8214ce08dfc61c47c72971-s.jpg;English;['Graphic Design']
Interior Design & Interior Architecture;http://www.pdfdrive.com/interior-design-interior-architecture-e5768161.html;24 Pages;https://cdn.pdfdrive.com/assets/thumbs/bcd/bcdd03ad666100254f01657fa70c37a1-s.jpg;English;"[""Editor's Picks"", 'Architecture']"
How To Read Music 7 Easy Lessons;http://www.pdfdrive.com/how-to-read-music-7-easy-lessons-e19861601.html;65 Pages;https://cdn.pdfdrive.com/assets/thumbs/7ed/7edaea1fc486b21af9904fe63de1e782-s.jpg;English;['Music']
The Big Book of Weekend Woodworking - Wood Tools;http://www.pdfdrive.com/the-big-book-of-weekend-woodworking-wood-tools-e12932213.html;452 Pages;https://cdn.pdfdrive.com/assets/thumbs/a4a/a4ac347cde6bee166141cea7d5361dd3-s.jpg;English;['Craft & Hobbies']
Posing Techniques for Photographing Model Portfolios;http://www.pdfdrive.com/posing-techniques-for-photographing-model-portfolios-e12467938.html;128 Pages;https://cdn.pdfdrive.com/assets/thumbs/9ea/9ea4183bdd5a1a6b3ad7d79c71db312b-s.jpg;English;['Photography']
Basics Design: Design Thinking;http://www.pdfdrive.com/basics-design-design-thinking-e12052373.html;202 Pages;https://cdn.pdfdrive.com/assets/thumbs/a53/a53f7d0b7769e8d33ff7650d81b6308d-s.jpg;English;['Art']
Building with Earth: Design and Technology of a Sustainable ;http://www.pdfdrive.com/building-with-earth-design-and-technology-of-a-sustainable-e6082438.html;198 Pages;https://cdn.pdfdrive.com/assets/thumbs/17c/17ccb65a3f6364ca6221593c92a0058a-s.jpg;English;"[""Editor's Picks"", 'Architecture']"
Guitar Chords for Dummies;http://www.pdfdrive.com/guitar-chords-for-dummies-e21818770.html;387 Pages;https://cdn.pdfdrive.com/assets/thumbs/e45/e450500fd379993ebca2fa6e5d5ed500-s.jpg;English;['Most Popular', 'Music']
The Piano Book;http://www.pdfdrive.com/the-piano-book-e15031661.html;446 Pages;https://cdn.pdfdrive.com/assets/thumbs/f57/f578b46fbcacb6e55d63ece04f90a548-s.jpg;English;"[""Editor's Picks"", 'Most Popular', 'Music']"
Typography;http://www.pdfdrive.com/typography-e19637783.html;242 Pages;https://cdn.pdfdrive.com/assets/thumbs/93a/93a69d8669e0be1ded1afdb0494153ff-s.jpg;English;['Graphic Design']
Portrait Photography;http://www.pdfdrive.com/portrait-photography-e30616734.html;329 Pages;https://cdn.pdfdrive.com/assets/thumbs/476/4764a52395552bc95b5292341a12ce7b-s.jpg;English;['Photography']
Alfred's Essentials of Music Theory;http://www.pdfdrive.com/alfreds-essentials-of-music-theory-e19040643.html;117 Pages;https://cdn.pdfdrive.com/assets/thumbs/aa7/aa7da48f9820242116f551bc33e3546f-s.jpg;English;['Music']
Fine Woodworking 2007 Building Furniture;http://www.pdfdrive.com/fine-woodworking-2007-building-furniture-e14934013.html;116 Pages;https://cdn.pdfdrive.com/assets/thumbs/fec/fecaf0b5170ae9f874bceaa249679000-s.jpg;English;['Craft & Hobbies']
How to Draw Collection 1-12;http://www.pdfdrive.com/how-to-draw-collection-1-12-e18737686.html;427 Pages;https://cdn.pdfdrive.com/assets/thumbs/168/1688a7804b042a138e18372581f4442d-s.jpg;English;['Most Popular', 'Painting & Drawing']
Gardens Outdoor Fine Woodworking;http://www.pdfdrive.com/gardens-outdoor-fine-woodworking-e16582922.html;97 Pages;https://cdn.pdfdrive.com/assets/thumbs/d0b/d0b47697e1df5a9876ae5dcb9fae2998-s.jpg;English;['Home & Garden', 'Craft & Hobbies']
Sewing, The World's Greatest Hobby;http://www.pdfdrive.com/sewing-the-worlds-greatest-hobby-e20736178.html;311 Pages;https://cdn.pdfdrive.com/assets/thumbs/212/2127c91b3a2b9a5b6825d5f21efe0d84-s.jpg;English;['Fashion & Beauty', 'Craft & Hobbies']
Absolute Beginner's Guide to Digital Photography;http://www.pdfdrive.com/absolute-beginners-guide-to-digital-photography-e5757098.html;381 Pages;https://cdn.pdfdrive.com/assets/thumbs/f12/f120c6d891a94376476c5a4826c4d627-s.jpg;English;"[""Editor's Picks"", 'Photography']"
Creative Black and White - Digital Photography Tips and Techniques;http://www.pdfdrive.com/creative-black-and-white-digital-photography-tips-and-techniques-e39581233.html;243 Pages;https://cdn.pdfdrive.com/assets/thumbs/cab/cabc4466ff3a5c4be8d1115f0cd59be5-s.jpg;English;"[""Editor's Picks"", 'Photography']"
Architect Drawings - A Selection of Sketches by World Famous Architects Through History;http://www.pdfdrive.com/architect-drawings-a-selection-of-sketches-by-world-famous-architects-through-history-e34341921.html;289 Pages;https://cdn.pdfdrive.com/assets/thumbs/b68/b6886633b0bb66a53b1937faf0d362de-s.jpg;English;['Painting & Drawing', 'Architecture']
National Geographic Masters of Photography - SnagFilms;http://www.pdfdrive.com/national-geographic-masters-of-photography-snagfilms-e17368460.html;190 Pages;https://cdn.pdfdrive.com/assets/thumbs/1df/1df1f83d793151a19aa082e9de2cb0fb-s.jpg;English;"[""Editor's Picks"", 'Photography']"
The Makeup Book;http://www.pdfdrive.com/the-makeup-book-e33429568.html;100 Pages;https://cdn.pdfdrive.com/assets/thumbs/ee4/ee407c54445c1420a2234707395d8348-s.jpg;English;['Fashion & Beauty']
Posing for Portrait Photography;http://www.pdfdrive.com/posing-for-portrait-photography-e10759171.html;128 Pages;https://cdn.pdfdrive.com/assets/thumbs/bd7/bd75586e70ff2aa6924fcf4d40119837-s.jpg;English;['Photography']
Understanding Architecture Through Drawing;http://www.pdfdrive.com/understanding-architecture-through-drawing-e24286816.html;273 Pages;https://cdn.pdfdrive.com/assets/thumbs/b8e/b8ebd9dd7a604e4df1bf9ef2202ba5db-s.jpg;English;['Painting & Drawing', 'Architecture']
Creative Illustration;http://www.pdfdrive.com/creative-illustration-e13515516.html;290 Pages;https://cdn.pdfdrive.com/assets/thumbs/041/041d26e5437ca3dbbe0218db05943db4-s.jpg;English;['Graphic Design']
Creative Photography Ideas;http://www.pdfdrive.com/creative-photography-ideas-e39681573.html;162 Pages;https://cdn.pdfdrive.com/assets/thumbs/878/878922f094b5397caf8a45e7f457b242-s.jpg;English;['Photography']
Gesture Drawing for Animation;http://www.pdfdrive.com/gesture-drawing-for-animation-e142764.html;214 Pages;https://cdn.pdfdrive.com/assets/thumbs/d25/d25156a2b3ddf49e37e6c4361466b34a-s.jpg;English;['Painting & Drawing']
How to Apply Makeup Professionally;http://www.pdfdrive.com/how-to-apply-makeup-professionally-e13852633.html;301 Pages;https://cdn.pdfdrive.com/assets/thumbs/a40/a404029ec59c3f8b9fff6789226f16fe-s.jpg;English;['Fashion & Beauty']
The Green Beauty Guide;http://www.pdfdrive.com/the-green-beauty-guide-e19440647.html;290 Pages;https://cdn.pdfdrive.com/assets/thumbs/0b2/0b2e14396d533a7110a2a1ee19a9d498-s.jpg;English;"['Fashion & Beauty', ""Editor's Picks""]"
Handbook of Medicinal Herbs;http://www.pdfdrive.com/handbook-of-medicinal-herbs-e50341.html;893 Pages;https://cdn.pdfdrive.com/assets/thumbs/e41/e419ced29b4cebed221038a004c9744f-s.jpg;English;['Fashion & Beauty', 'Food & Nutrition', 'Medical']
Photoshop for Dummies;http://www.pdfdrive.com/photoshop-for-dummies-e7451134.html;778 Pages;https://cdn.pdfdrive.com/assets/thumbs/6b4/6b455692c155a2d495af5c815c1232d6-s.jpg;English;['Art', 'Technology']
Structure as Architecture - School of Architecture;http://www.pdfdrive.com/structure-as-architecture-school-of-architecture-e14520898.html;241 Pages;https://cdn.pdfdrive.com/assets/thumbs/a3a/a3a3817fd4ee419885cba2ec8dfdc4a7-s.jpg;English;['Architecture']
How to Draw Flowers and Plants;http://www.pdfdrive.com/how-to-draw-flowers-and-plants-e19520329.html;133 Pages;https://cdn.pdfdrive.com/assets/thumbs/7ea/7ea65ba973b344b820c355bcb50c1a8c-s.jpg;English;['Painting & Drawing']
Planning and Design for Sustainable Urban Mobility;http://www.pdfdrive.com/planning-and-design-for-sustainable-urban-mobility-e7858824.html;348 Pages;https://cdn.pdfdrive.com/assets/thumbs/be2/be2d90b2b5579ab23659edf182da0315-s.jpg;English;['Architecture', 'Environment']
Decorative Knots;http://www.pdfdrive.com/decorative-knots-e27962903.html;253 Pages;https://cdn.pdfdrive.com/assets/thumbs/292/292fef735b3808477897d9eba9e441df-s.jpg;English;"[""Editor's Picks"", 'Most Popular', 'Craft & Hobbies']"
Posing Techniques for Glamour Photography;http://www.pdfdrive.com/posing-techniques-for-glamour-photography-e18162721.html;129 Pages;https://cdn.pdfdrive.com/assets/thumbs/ae5/ae51790745cab46bd25f3780f638bb78-s.jpg;English;['Art']
Pencil Drawing - A Beginner's Guide;http://www.pdfdrive.com/pencil-drawing-a-beginners-guide-e5187568.html;57 Pages;https://cdn.pdfdrive.com/assets/thumbs/c81/c81f16ec5d3f287aa6947af868a3d082-s.jpg;English;['Painting & Drawing']
Fashion Design and Illustration;http://www.pdfdrive.com/fashion-design-and-illustration-e9822362.html;80 Pages;https://cdn.pdfdrive.com/assets/thumbs/aa2/aa2ff4d5a2ec3356084aab2f7f85d3ae-s.jpg;English;['Fashion & Beauty']
Architecture: Design Notebook;http://www.pdfdrive.com/architecture-design-notebook-e175779.html;119 Pages;https://cdn.pdfdrive.com/assets/thumbs/af8/af8e6e8c9be77bb2c29e1da0994a48d6-s.jpg;English;"[""Editor's Picks"", 'Most Popular', 'Architecture']"
Bass Guitar For Dummies;http://www.pdfdrive.com/bass-guitar-for-dummies-e18720398.html;363 Pages;https://cdn.pdfdrive.com/assets/thumbs/0df/0df83cc2e9a8686d3c505cbeaa311165-s.jpg;English;['Most Popular', 'Music']
Pen and Ink Book Illustration;http://www.pdfdrive.com/pen-and-ink-book-illustration-e18734884.html;131 Pages;https://cdn.pdfdrive.com/assets/thumbs/6b9/6b99d21e77380b9e6f0a794305fdfabc-s.jpg;English;['Graphic Design']
Digital Photography Composition For Dummies;http://www.pdfdrive.com/digital-photography-composition-for-dummies-e19499268.html;372 Pages;https://cdn.pdfdrive.com/assets/thumbs/df3/df34dd82a4f49a364e42ed9f2349dcf8-s.jpg;English;['Photography']
Jewellery & Designer Fashion;http://www.pdfdrive.com/jewellery-designer-fashion-e2048390.html;124 Pages;https://cdn.pdfdrive.com/assets/thumbs/034/03495d1802be11fee9ef2dc0d1195235-s.jpg;English;['Fashion & Beauty', 'Craft & Hobbies']
Interior Design Handbook of Professional Practice;http://www.pdfdrive.com/interior-design-handbook-of-professional-practice-e18834582.html;800 Pages;https://cdn.pdfdrive.com/assets/thumbs/cc9/cc932acc20a18ebb0edf5ea7959b2fa5-s.jpg;English;['Architecture']
Structural Engineering - Civil, Environmental, and Architectural ;http://www.pdfdrive.com/structural-engineering-civil-environmental-and-architectural-e6480263.html;133 Pages;https://cdn.pdfdrive.com/assets/thumbs/365/3654b98cf83e831268bb786367c5bc93-s.jpg;English;['Engineering', 'Architecture']
Game Design: Theory & Practice 2nd Edition;http://www.pdfdrive.com/game-design-theory-practice-2nd-edition-e8793769.html;723 Pages;https://cdn.pdfdrive.com/assets/thumbs/1c8/1c8e8b87b72781d7c084b5cd9200897d-s.jpg;English;['Art']
Violin For Dummies;http://www.pdfdrive.com/violin-for-dummies-e30971609.html;434 Pages;https://cdn.pdfdrive.com/assets/thumbs/ece/ece1fe4b69e726ec058ddde07a2e24c0-s.jpg;English;['Most Popular', 'Music']
Bobbi Brown Makeup Manual;http://www.pdfdrive.com/bobbi-brown-makeup-manual-e6484073.html;156 Pages;https://cdn.pdfdrive.com/assets/thumbs/d78/d787294d1bcbae3caa913561498d967a-s.jpg;English;['Fashion & Beauty']
Graphic Design Basics;http://www.pdfdrive.com/graphic-design-basics-e2036342.html;74 Pages;https://cdn.pdfdrive.com/assets/thumbs/6a3/6a30cde430c2912d7fb2d1588ccfc681-s.jpg;German;['Graphic Design']
Sacred Mathematics: Japanese Temple Geometry;http://www.pdfdrive.com/sacred-mathematics-japanese-temple-geometry-e13737972.html;377 Pages;https://cdn.pdfdrive.com/assets/thumbs/783/783d742eef11ce6769a9874e05651d29-s.jpg;English;['Math', 'Painting & Drawing', 'Architecture']
Lighting Techniques for Photographing Model Portfolios;http://www.pdfdrive.com/lighting-techniques-for-photographing-model-portfolios-e19570041.html;129 Pages;https://cdn.pdfdrive.com/assets/thumbs/dee/deeaf7bd4ed9a201b47fbfb7a6d9be8e-s.jpg;English;['Photography']
Elementary Visual School Arts;http://www.pdfdrive.com/elementary-visual-school-arts-e20722489.html;417 Pages;https://cdn.pdfdrive.com/assets/thumbs/633/6337ec6c01c8e09ced2443ea5a05f3da-s.jpg;English;['Graphic Design', 'Children & Youth']
Typography, Headlines and Infographics;http://www.pdfdrive.com/typography-headlines-and-infographics-e32848148.html;150 Pages;https://cdn.pdfdrive.com/assets/thumbs/80c/80c3f54d3424c05cc95749c6b8dae69a-s.jpg;English;['Graphic Design']
Blues Guitar Lesson Book - Learn & Master Courses by Legacy ;http://www.pdfdrive.com/blues-guitar-lesson-book-learn-master-courses-by-legacy-e1892742.html;111 Pages;https://cdn.pdfdrive.com/assets/thumbs/428/428014987959992b50bdcfaafae8678a-s.jpg;English;['Music']
Decorative Paint & Plaster and Thermal Insulation Catalog;http://www.pdfdrive.com/decorative-paint-plaster-and-thermal-insulation-catalog-e2447704.html;132 Pages;https://cdn.pdfdrive.com/assets/thumbs/8e1/8e1b72dea258f7633e9af24b6c148551-s.jpg;English;['Most Popular', 'Craft & Hobbies']
The Language of Music - Tom Brooks Music;http://www.pdfdrive.com/the-language-of-music-tom-brooks-music-e6628778.html;149 Pages;https://cdn.pdfdrive.com/assets/thumbs/60d/60d5b71b4d5f63cfc4fd73e00603254f-s.jpg;English;['Music']
Creating Simple Solos - Amazing Guitar Secrets;http://www.pdfdrive.com/creating-simple-solos-amazing-guitar-secrets-e1892811.html;53 Pages;https://cdn.pdfdrive.com/assets/thumbs/f80/f805c37ab214d4aa3ccd9273ec2b3469-s.jpg;English;['Music']
Teach Yourself Visually Drawing;http://www.pdfdrive.com/teach-yourself-visually-drawing-e20910044.html;307 Pages;https://cdn.pdfdrive.com/assets/thumbs/6d6/6d62507ae2264f8db7991f63a64c1efa-s.jpg;English;['Painting & Drawing']
How to Draw Collection 13-24;http://www.pdfdrive.com/how-to-draw-collection-13-24-e34436729.html;369 Pages;https://cdn.pdfdrive.com/assets/thumbs/6b2/6b2598a2605381085c1368d589924a6c-s.jpg;English;['Painting & Drawing']
Photography Lighting Secrets - Michael Allen Photography;http://www.pdfdrive.com/photography-lighting-secrets-michael-allen-photography-e18082199.html;67 Pages;https://cdn.pdfdrive.com/assets/thumbs/954/954d67c4a09ec4d533279526cd03a209-s.jpg;English;['Photography']
101 Soap Recipes;http://www.pdfdrive.com/101-soap-recipes-e6931227.html;43 Pages;https://cdn.pdfdrive.com/assets/thumbs/018/0187fa1773fe7a7284987f9ddedc71a4-s.jpg;English;['Craft & Hobbies']
